,review
132,"You do not know how to fix anything. 3+ hours 9n phone for printer issue. You blame on my laptop, also HP. You tell me I have to pay for repairs that you cannot even diagnose. Never buying any of your garbage again. Useless...."
133,"Needed to send my laptop for repair. After all the customary exchange of info, was told by call center that they will send me a quotation via email for the repair cost (end of business day or latest within 24 hours)It’s coming to 2 days and still no response. Called the call center again… usual reply that they will check.In fact this is not my first request for support from HP. Previous request for assistance became a maze of red tapes and frustration.I will not buy any product from this brand again."
134,I bought an HP Pavilion laptop last September and have had a lot of trouble getting it to connect to the internet. My local computer repair shop have re-installed software but it just works for a couple of days.  No point in getting in touch with HP. Even if your laptop is under warranty they won't help you unless you sign up to one of their plans at £10 a month. This is a company that only wants to extract money from you so avoid their products.
135,Why does this company still exists? Their tech is from the 90s standard at everything they do. nuke this company tot the ground. harvest the employees organs is more useful
136,"Everything. Literally everything that could go badly, did go badly, catastrophically and completely. My original HP care pack was debited 3x from my account, and for some reason none of the payments cleared, and the $ was returned, cancelling my monthly subscription to my Care Pack. (And YES, it's a Care Pack, not that Smart Friend BS). All I wanted to do was renew my subscription but, after logging into my account and looking at previous subscriptions, was dismayed to find there was no link available to it. HP technically has *two* separate websites that you can purchase Care Packs from, and it's super freaking confusing trying to find the one that you need AND one that's appropriate for your device (in my case, HP ENVY x360 w/AMD Ryzen 7 processor). In any case, after hours of searching I couldn't find the Care Pack I had purchased previously, so I decided to try chatting w/ HP Customer Support.It was a living freaking nightmare, as usual. After well over an hour of, in many cases, blatantly wrong answers and unnecessary questioning, I ended up just giving up--and, hilariously, their ""final answer"" was more wrong than any other they had given me up until that point!  Some examples taken from the text:1. Yes, there is only one care pack available for your device. It's a 3-year HP care pack for $135.00 (there are actually about 5 or 6--this is the most expensive option)2. Can you give me the original order number from your HP Care Pack? (I did 3 times) ....it's not showing up on my end, it just shows up in all asterisks. (Yes--because it's a private customer order number!! You can't view it! How do you not know this? Why can't you just look up subscriptions on my account???)3. Where did you purchase your HP Laptop from? You should have purchased the HP Care Pack at the time of your laptop purchase. You might not be able to do so, since your laptop has been active more than 90 days (THIS IS BLATANTLY WRONG. And it was Amazon--they don't have an option to purchase a care pack from the HP store when you buy a laptop on there smfh. Not only that--but the warranty FFS)4. I've found your monthly subscription and included the link. You had purchased a monthly subscription to HP Smart Friend, not a Care Pack (again BLATANTLY WRONG, as I explained to him in the beginning, no, it was an HP Care Pack, not a Smart Friend subscription. Had he even simply looked at my account & my previous subscriptions, it literally said in black and white HP Care Pack w/ ADP & REPAIR)HP customer service is WORSE than useless. They frequently say they are ""consulting their team"" when it is obvious that all they are doing is skimming the already-available commercial resources on the normal HP website. You will never get direct answers to simple questions, are often met with blatant incompetence, if not outright lies or misleading information, they will constantly try and sell you things not even appropriate for your device, ask you totally irrelevant questions....the list goes on, but in short, it is truly ASTOUNDINGLY MIND-BOGGLING how UTTERLY USELESS & INCOMPETENT HP Customer Service personnel are. You are INFINITELY better off avoiding them entirely, and seeking answers on community forums instead. Trust me, if you weren't angry before you called them, you will *definitely* be angry by the time you hang up.TO MIKE GEE: I have an HP ENVY x360 that currently has an identical problem, and has had the same problem in the past. Usually the first thing that fails is the touchscreen, and before you know it, your HP will get stuck on the load screen FOREVER. While I don't have the UK Customer Service number, I can tell you it's a hardware issue--you need to send your HP in for repair. They'll offer you a Windows recovery USB stick, but you can't reach the recovery screen either. HERE IS MY WORKAROUND TO FORCE YOUR HP TO LOAD (it's a little strange, but it works)There are two possible methods. Use whichever works. 1. Turn on your HP. The MOMENT the screen activates but BEFORE the HP load logo is displayed, SHUT THE LID OF THE LAPTOP, and wait about 5 mins. When you open it, you should be at your home screen. 2. Turn on the HP, and immediately shut the lid BEFORE the screen kicks on. Wait 5 mins. If you open it and it says it's ""preparing automatic repair"", press & hold the power button to turn off, and try again. If met with a completely black screen, also press & hold power button, then turn off. Afterward, follow method 1. I have no clue why this seems to work, but it's worked for me both times that I've had the same problem you have. The problem is the integrated processor. It overheats & corrupts very easily, bc the cooling fans are awful. I hope this helps!"
137,"STAY AWAY FROM HP, the worst printers out there, constant connection issues, customer service is shocking, reluctant to exchange for a new one after only having it for 3 months, so bad! STAY AWAY."
138,One printer parches 5days Red light bling to complete toll free number complen ID 5099806370Engineer visit problem the printer Head  I will be Head replacement.bot not replaceable printer Head
139,"I would give them a big ol fat Ass ZERO, but lowest is one star. I bought an Envy 6400 series and was duped into enrolling in their instant ink program. I didn't see an option actually as I couldn't set up the printer otherwise. In fact I actually needed the stupid app to complete set up on my printer. Well. Trial subscription ran out and now I'm left without a working printer. The ink cartridges that came with it won't even work as one had to stay enrolled in the program. So I have to buy non sanctioned HP cartridges in order for it to work. So here I sit after 45 min with online chat ""help"" and currently on a 45 min wait still for a live person! Customer support is a joke. Never ever ever again will I buy an HP piece of JUNK!!!! Buyer beware."
140,Stay away from HPI have owned this piece of scrape for 2 years. Not once have I been able to turn in on and it would just work. Now after around 50 pages printed it broke down completely. I dont even give it to fix. It is just a piece of junk and I thoroughly hope that is company will go bankrupt.
141,"Laptop has been sent back for repair twice, still not fixed. I've called back again with the same issue to say it has been fixed. You can't speak to a manager/supervisor. You can't make a complaint because they have no contact details and they just laugh at you on the phone. Customer service is absolutely shocking."
142,"They sold me a printer at full price in 2021 that they knew would never get another software update, as it was released in 2016. I bought this at full price, unaware they were moving to a new model, as there was no way to discern this on their site. The printer never worked well at all, constantly misfiring, misaligning no matter how many resets it got. This was a $250 printer, mind you. It finally broke altogether yesterday, and their customer support informed me that there was nothing to be done at all, and the only option was to buy a brand new printer at full price. Absolutely shameful experience. Nobody wants to buy a new piece of hardware at full price every two years because a lazy company is unwilling to invest in minor software updates for older equipment. This shows no respect for your customers."
143,"HP Instant Ink is a great idea and cheap. But my God, the customer service is appalling and you have to jump through hoops. Replaced an ink cartridge with one sent 4 months ago and seems to be dried up. Contacted them to ask if my black ink can be sent earlier (due to be shipped in 1 week) and they require photos of the cartridge nozzle, to shake it, replace it and then to follow 10-15 steps to then see if it is faulty because apparently the printer not printing black ink isn't proof enough. It's the same ink that would be sent in ONE SINGLE WEEK that they refuse to send out until you complete all these steps to prove the ink is empty or dried up. Like really? Just send out the ink that's going to be sent out? You have to go through a virtual agent first to even go to a live agent, which then told me I needed to open a case when it told me to contact the Whatsapp to begin with to go back to the site to open the case for me not to need a case? It's just a lot of hardwork to get working ink and the printers are just okay anyway."
144,"Printer constantly goes “off-line” when all other gadgets are still connected. Frequently, I have to de-install the printer and reinstall it to get it back. I’ve never had such a temperamental piece of home office ware. Would absolutely never recommend."
145,"Just purchased a new HP printer. Followed the setup instructions to the letter. Printer would not print. After spending a couple of hours on it with no luck contacted customer support. I was informed that the reason my printer would not print was due to the fact that I had a trojan (malware) and that removing it would solve all of my problems. Cost was $199 Agreed to the removal. Here's the thing...I did not see the customer service tech remove any malware. He immediately started to install and re-install printer software. All in all I spent 9 hours of my life (that I will never get back) with 4 different techs before the printer finally worked. Then the tech tried (pushed) to sell me a $1500 network firewall.I have to say that I feel like I've been scammed and will never buy another HP product...period. I would rate my experience at less than a ""1"" if possible."
146,"I bought a HP All-In-One computer and a HP printer, I have tried to get it to print to no avail, a tech engineer from HP spent 2 hours trying to get it and failed, then stating that Windows was at fault. The irony being I have to now use my old Toshiba laptop running the same version of windows as a print server. I would have thought you would have configured your firmware to work with your own printers, if you had to pay me for the amount of time I have wasted it would be racked up in the £1000s, not to mention the time spent by your tech support engineers trying to get the devices talking to each other. I also discovered that I could not replace the HDD with an SSD due to some firmware problem and it will not cast output to another display again another reason my old Toshiba is still around. Additionally, it fails to clip back together properly, it is a really bad design from a construction stand point."
147,"Worst customer service experience ever, they got my name wrong and diverted me to A.I numerous times, after waiting and getting to somebody they put the phone down on me.This is because the laptop they gave me was faulty and had a blue screen of death upon 2nd use. DO NOT BUY"
148,"Unbelievably bad. Been in a WhatsApp support chat for 5 days and to say they are awful is an understatement.For a company I thought was good, not anymore. Terrible."
149,"The false advertising bit - I bought an HP laptop 5 days ago.  It is advertised and sold as having PC3200 RAM - but in reality it runs slower as PC2660 and there is no way to change that.Terrible customer service - at first I was pointed at the virtual assistant, what a waste of electrons - none of these bots are that good but the HP effort is particularly useless.Next it tried to get me to pay to speak to someone just to discuss a fault with a laptop bought 5 days ago.Eventually I tried the WhatsApp - I raised a case and was told I would have to wait about 7 minutes.  That was at 13:21.  I waited by my phone for an hour but nothing.  I then had to go into a work meeting and when I got out I got an email that they had closed my case.Basically it had taken them 1 hour and 25 minutes to get back to me (far from the indicated 7 minutes).  They waited an hour but by that time I was in a meeting.  They then concluded that I wasn't available so closed my case.Absolutely shocking way to do customer support.It is probably something minor that they could have resolved easily but because they aren't interested I guess I shall have to return the laptop to the store for refund."
150,"There was a time when HP products were excellent. I know because I have a fully working small B&W laser printer in my home office that is still working perfectly after many years of daily use. However, I also have an all-in one OfficeJet Pro 8620 colour printer, bought a few years ago. It has now failed, and the only on-screen suggestions are  to remove and then replace the mains cable, or reboot the machine, failing which you should ""contact HP"" The former did nothing, and the latter is the way to spend hours of frustration with no satisfactory outcome. For example, it starts by requesting the fault code ""shown on screen"", but there is no code shown, and it gets worse with a chatbot offering irrelevant suggestions. The 90% of reviews on this site that are 1-star tell the sad story of a once great computer company now selling machines that work well for a short time, but when they fail offer a very poor  service to get them going again. Alternatively, you can pay £21 to talk to a technician, which is refundable only if they cannot solve the problem, and you accept HP's quote for a repair. Added to this are the frequent complaints  about the high cost of ink, that I fully endorse."
151,"A nasty, monopolizing company that values profit over customers. It's no wonder they boast a 1-star rating with thousands & thousands of reviews! 🤢🤮First, HP auto-updated my printer (and probably yours, too!) to REJECT off-brand, generic toners. This effectively forces us to buy HP's overpriced toners—for me, this is $446 plus tax every time I need to buy all 4 colors. Unless you want to foot the bill of a brand-new printer every time you need some ink, I suggest you stay far, far away from HP.Secondly, I've had recurring connectivity issues with my $450 LaserJet printer and no way to access a real person for customer service UNLESS—get this—I pay $99 or more to talk to someone. Frustrated after hours of troubleshooting, I paid and have yet to receive an email with instructions to use the service I paid for. Of course, their website and ""virtual assistant"" is of absolutely no help. 👎🏻👎🏽👎🏿More often than not, I find myself printing documents at Fedex because my unreliable printer only works a fraction of the time. Pretty sad considering I have a *very* lightly-used HP printer collecting dust in my office!"
152,Never buy HP Products as the models get old even if in working condition they do not provide service and cartridge / toners are always OUT OF STOCK
153,"waiting since last 1 hour to chat with an agent in a moment. new laptop, weird problems. never buying hp again"
154,My laptop is not charging at all within 9 months of purchase and when I sent laptop back. They are telling I damaged the laptop and repair cost is $ 233 and not covered by warranty. But it's battery issue. Never buy any HP products. Waste of money on the long run.
155,"case  5101193058. some rep who clearly was not an IT person, asked me a bunch of questions including did i restart...???  he wasted over 15mins of my time just to direct me to another group.  i purchased my laptop 3 months ago.  the first group he gives me a ph# to is FEE BASED.  i said wth would i have to call to a fee based group who is not HP.  after i asked that then he provided me a secondary number to a free group.  HORRIBLE!  will never purchase another HP in my life."
156,I have multiple printers for my company where the original toners are way to overpriced. Printer is good but the price of the toner…
157,"When I was downloading a game, it says low storage. I deleted stuff to free up space, but it still says low storage. Please improve or else I will think about having to sue you."
158,"Their support system is specifically difficult to get through - the people themselves are helpful but getting to them is difficult. I used the call back option and was never phoned, I spoke to them on WhatsApp and it took a week to assign me someone to speak to. When I got through on WhatsApp they referred me to another team with a phone number that tried to redirect me back to WhatsApp. The painful thing is that I found out my purchase won't work and I need a refund - but the refund period is a ridiculously short 2 weeks. I spent those 2 weeks being passed from team to team and not actually speaking to anyone, so once I'd found out a refund would be necessary it was too late. Absolutely aggravated and dissapointed by both the contact options and efficiency, but mostly the short refund period and inflexibility when it came to issues caused by hp themselves. Seems perfectly designed so that hp never have to give out a refund."
159,"So so inadequate in numerous areas… Misleading in their technical advice for stylus replacement, send the wrong thing. Hard to communicate with them too as they are so incompetent and disorganised. Hp never ever again!!"
160,"The worst printer ever, and way to expensive with ink.Completely lock products that forced you to use abnormally amounts of money on inck.My first and last hp product."
161,"Horrible laptops, the mouse has stopped working and it's only been 2 months since I purchased it. Plus the customer support is nonexistent."
162,HP DeskJet Plus 4100Bad printing quality. Annoying software requires you to sign in prior to printing.
163,"Okay, I want everyone to understand that I'm not the type of person to put down or disgrace a company or individual on social media or anywhere for that matter. However, I am so frustrated with Hewlett-Packard.  I have gone around and around with their customer service over a laptop that THEY ""repaired"" for me that upon receipt and unpacking of my ""professionally repaired"" laptop I noticed a big crack across the screen that I know for a fact wasn't there when I sent it to them. After contacting customer service, via their online chat service which is the best way according to  #hewlett-packard #hp  recommends is to get any situation handled in a timely matter, I have now opened 4 cases with them about this and have yet to receive a phone call from the case manager. I was  promised, everytime, to get this call to  inform me if and when they will rectify my situation. All the customer service rep would tell me is that the cracked screen wasn't covered under my warranty. Well, since they cracked it I don't give a flip about the warranty covering it I just want them to fix it! This has greatly affected my life! I was taking online college courses and have been forced to drop out and have lost a lot of money while depending on something that would be handled in a week or two now dragging out for over a month. I will never purchase another product from nor recommend @hewllet-packard #hewlett-packard #hp and it's all because of their poor customer service."
164,Stay away from subscription with HP .They charge the earth if you go over your amount !!!!Very difficult to get out off and then they charge you a fee !Plus when you do cancel they charge you again . Even though you have paid for the cartridges they will not let you use them once you cancel.This company are very distrustful.Buy your own cartridges or end up with the taking over 40:00 per month.
165,Crazy asf why this still exist I’m not needing any of it too bad for me 👎🏻👎🏻👎🏻
166,"I ordered a premium high end All In One computer. The website describes that computer comes with a ""Black"" Model HP 915 keyboard and mouse. Whist the keyboard is high quality it is metallic grey and the letters are not clear for my eye sight. I specifically went for this package due to the description on the website. After contacting the complaints team, I have been offered a basic budget range keyboard replacement which is not like for like to HP915. I believe that the closest black keyboard available to my current is HP 970, but also requested that the company offers a similar spec in black. I would like to reach an amicable resolution which is fair and just. I reiterate that the facts are:• The website description (evidence such as screen print available) was and still continues to be misleading, describing something as a black keyboard inaccurately• I selected a premier product in the HP range. I could have gone for even a sub 1k machine, but that was not the case. The machine I purchased was approx. £2k.• The keyboard offered (HP260) as a good will gesture is materially below the standard of the keyboard that I am seeking to replaceFor honest practical reasons, I can not simply return the whole system back, as I have invested approximately 2/3 days in setting this machine, buying single user licences and a lot of effort in migrating the data over.This meant that I have already incurred expenses in getting the computer set up and bought licences for relevant software. I am 61 years old and I was specific in buying a computer that came with a black keyboard for ease of use. It is not an option to return the whole package for the reasons mentioned.Having looked at their website, the closest match is HP975."
167,"I pay for ink every month that I never receive and their customer support number is permanantly ""temporarily unavailable"". Crooks!"
168,"Do not buy a HP laptop. Sent for repair 3 times come back with the same fault, they must be blind. Customer service are cheeky and horrid. Had my laptop for over 2 weeks last time they were repairing it, been away for over a month in total. DO NOT BUY ANY HP PRODUCTS!!!!!! Instant ink just as bad."
169,"We recently had to replace our HP printer due to a broken printer head. We opted for a new printer that came with a free 6-month ink subscription. However, we were unpleasantly surprised to find that the new printer was blocked from printing by HP, as our old printer still had an active subscription, even though it was no longer in use.Upon investigating the matter further, we discovered that the subscription was not just for ink, but also for the rent to allow pages to be printed. This meant that we had to pay for the subscription on the old printer in order to use our new printer, or risk having it blocked by HP.While the concept of a subscription model for printers is not new, we were not adequately informed of the details when we purchased our original printer. It is important for HP to be more transparent about the terms of their subscription model, particularly as it relates to the rent for printing pages and blocking printing ability if subscription is not paid.It is important for consumers to be aware of the subscription model for HP printers and the associated rental fee for printing pages. While the idea of a subscription model can be convenient for some, it is important to fully understand the terms and conditions before making a purchase to avoid any unpleasant surprises down the line like what we received."
170,My HP Envy printer is just horrendous. It rarely works. It never connects. It is very slow. It can never be found by various computers. When you need it it fails. Every time. I want to throw it at the wall but I doubt that will help.
171,"When I ordered the HP laptop (approx. 1/17/2021), took one hour, I did not realize I was talking to someone in the Phillipians and he said the laptop was made in China, but parts from all over, so he said. Laptop was promised by 2/01/2023. It got stuck in customs and I asked to return it. I could not because it was customized. I finally got it 2/13/23. It would not start. Called tech support to get it working. Two days later it didn't start up again. Spent way over an hour. In between that, the ""customized order"" of backlights, did not work, and the fingerprint takes several times to work. Never really used it beyond that because of the issues.Next day, nothing. Said wrong password and fingerpringt did not work. I had to do a factory reset. Which takes forever. Each time I asked to return it because I paid almost $1000 for a laptop for this. I calculated, for their restocking at $950 that's $142.50, then Florida state taxes $57, totalling $179.95Very difficult to be speaking to Tech's from India. Usually very courteous, but lengthy sentences that I don't understand half their dialect, resulting in questions not appropriately answered and often deflecting my question.This was my fourth bad laptop, but the other three companies had no issue with me returning. First was an HP, duh, why order another? Second, no secure packing and another reason, sent it right back, third was the wrong laptop, they had no issues."
172,"Order a computer, giving a shipping day two weeks later, then a day after its suppose to ship they email me they need two more weeks. They are selling what they don't have. Thieves"
173,"I contacted HP  about my HP Pavilion touchscreen cage coming apart. My laptop was collected by the courier and a few days later, I saw on my case tracker that I should contact HP. I called and they were telling me that engineers have refused to repair your unit because they had detected liquid and accidental damage in your machine. I was shocked and disgusted. I challenged them for hours and days and the only solutions they offered were either to return the laptop unrepaired or buy replacement parts (like screen, motherboard, etc) from them. When I asked how much it was going to cost, they quoted £441. This is a unit I purchased from HP with a warranty for £471 - the warranty is still running. At that point, I knew they wanted to rob me by forcing me to get another laptop from them. I refused to pay for any replacement parts. I told them it's like taking your car to the mechanics to get the side mirror fixed and they demand you buy a new engine, exhaust, etc before they will repair the side mirror. They returned the unrepaired unit to me and surprisingly, it came with missing screws. I called HP and they denied it had happened at their end (because they had classified the laptop as accidental damage) and asked me for evidence that the screws were in place when they collected the unit from me. I then asked them to provide me with evidence that the screws were not in place when they received the laptop. They then sent me a discount voucher to get a new laptop or screen changed. I was at this point more convinced HP knew they were wrong and wanted to use this as compensation. I told them I would never use this voucher because none of the things in your report is true. I have contacted the Citizens Advice Bureau about this issue. HP are big-time liars and cheats who prey on their customers. Please avoid them at all costs!!!"
174,"Absolute garbage, bought from best buy and takes hours to load a web page. Not gonna waste my time here explaining. But have to say, be carefull."
175,"I have heard some Bulls**t in my time, this goes straight to No.: 1 of my 100 Bulls**ter’s.  My HP laptop crashed for which I needed to have my Windows 10 OS re-installed via File sent from HP.  It transpired that because USB port was not being displayed in the recovery process on my Laptop I would need them to send me the file again, BUT!!!!!The file we be sent again to friends PC. HP would then dial into my friends PC and make changes to the file for me to upload in my external hard drive.  This is where I started to think “Rogue” “Con” “Hackers”The HP Technician would then access my external HD on my crashed laptop but would need to erase all the other data on my external HD as it could corrupt the HP file he/she is accessing to get Windows 10 OS reinstalled.For those in HP employment who don’t know why people around the world use external HD’s I’ll explain.  My main documents, files, photos etc, etc are on my external HD with a backup in cloud storage.When I asked can you not make the changes to the file your end and then send file to my friends PC, I was told no there is no other way HP could do this.My case number is 5101388142I hope someone up the pay scale on HP’s Board of Directors gets to read this, I’m sure your Under Writer’s will for this is the, biggest breach of data compliance & confidentially I have laid witness to.I’d like to see how HP Board explains this to the press!!, for me it truly was a One Flew Over The Cuckoo’s Nest experience.I’m going back to ACER, should never have left.This link sends you around in circles between HP & Microsoft.  A total waste of time.HP Support: Paul Tikkanen “Expert” gives me link to Microsoft to download Tool, Microsoft route me back to download Tool, HP redirects me back to Microsoft - Get The Picture!!!!!!"
176,"I thought that I was being over the top with my HP printer experience but I see it's not just me.  If I could give them a -0- I would.   I'm not sure when their products and customer service turned into garbage.  I am planning on filing a formal federal complaint  with the SEC.  I know the books have to be cooked.  I was told by one of their spt people that they intentionally stopped supporting the HP Color Laser Jet  Pro MFP  M177fw.      My printer is indeed several years old, however it's not a printer that gets heavy usage (I used it more for scanning and the occasional color print)   I received the screen of death with is the HP logo and the Energy Star Logo.    HP remoted into the printer, had me do a few things which resulted in the WIFI being deleted.  I can use the printer to print and I have to manually scan (no  option to use the feeder) and because I have no menu at all, I cannot make copies and I cannot change out the toner.Talking to HP is like talking to a 6 month old child that can't speak the language, and just smiles and laughs at you .  I reached out to HP on Twitter and that was an epic failure.  I'm  not kidding when I say they asked me for the same info no less than 10 times.  I felt like someone was sitting behind a desk laughing at me.    I'm just waiting on my printer to finally give out and die a painful death.I also have an HP 4155e which you could not install unless you opted into some HP BS.    I thought we went to federal court with Microsoft back in the day over similar requirements.    If you don't opt-in, then guess what, your printer does not work.   The OLD HP was great... this new HP company is filled with nothing but garbage.  I am thankful that my current HP touchscreen computer has not given me any issues.  I will keep my fingers crossed."
177,"I'm extremely furious with how bad customer service has been with helping with repairs, i've been an HP customer for over 20 years, over 400 PCs/laptops purchased and never had this bad of customer service in my life. I started a case over 4 month ago and it's been nothing but back and forth emails troubleshooting the PC to figure out why it's overheating. They end up sending someone to my house which stated very clearly that the PC is overheating and needs a new case. It was a known issue for the 30L OMEN specially with ones with 3080/3090. the PC gets so loud when i'm trying to record videos and i just can't record anything of quality due to how loud it gets, only way i can use it is when i open up the case with a fan blowing on it so it can keep cool. They end up calling me to tell me they don't believe the tech they THEY SENT is right and want to look at it. Remember THEY sent the tech guy to my house, this isn't someone i brought here to look at it. I ended up sending the desktop to HP for another test, the tech called me to tell me that yes your PC is running really hot and that's with no applications on it. I then get an email when the tech guy told me somone would call me. the email just stated that the desktop will be returned to me because no issue was found on the PC. The PC was then packaged and shipped back to me without anyone talking to me or trying to resolve the issue. The issue remains, the PC runs extremely hot and isn't usable. i really need someone of high level to step in and help with this else i'm done using this company and this terrible customer service i've had. both techs told me this is a KNOWN ISSUE with 30Ls and hp was not able to fix this under their warranty.  i'm done with this company and will make sure everyone of my over 11.4M business followers learn more about hp and how they treat their customers."
178,"If I could leave a NEGATIVE FIVE STAR REVIEW OMG I SOOO WOULD!!! I am convinced seeing as how this company is out of Singapore, that they are collecting everyone’s personal info, files, pictures & documents!!! I AM SOOOO GD PISSED RIGHT NOW THAT I SPENT 3 F N DAYS TRYING TO RECONNECT MY PRINTER AT MY NEW HOME & SUPPORT WOULD NOT HELP BC MY WARRANTY RAN OUT & INSISTED I PAY THEM $19.99 FOR THEM TO ASSIST ME - LIL WOULD THEY TELL YOU YA HAVE TO REESTABLISH A MONTHLY SUBSCRIPTION IN ORDER FOR THEM TO GIVE YOU ACCESS TO YOIR BOUGHT & PAID FOR PRINTER!! THESE SCAM CON-ARTISTS HAVE IT WHERE YOU ABSOLUTELY CANNOT USE NOR ACCESS ANY OF THEIR HP DEVICES IF YOU DO NOT CARRY A MONTHLY SUBSCRIPTION WITH HP SMART & WILL BLOCK ACCESS TO YOUR PRINTING JOBS!!! I HAVE THEIR HP ENVY 6000e PRINTER & DID NOT EXTEND WARRANTY WITH THEM BC WALMART PICKS UP THE 3 YR WARRANTY I PURCHASED THROUGH WALMART BUT ONLY AFTER HP’s WARRANTY RUNS OUT!!! THIS WHOLE F N TIME I TRIED EVERY DAMNED THING IN THE BOOK DOWN TO HARD FACTORY RESET TO REESTABLISH NEW CONNECTION UNDER A DIFFERENT NEW ACCOUNT & WHERE IT ALWAYS CONNECTS & SETS UP BUT STILL WILL NOT PRINT!!! SO MY A** LOGGED INTO MY OLD ACCOUNT & IT PROMPTED ME TO UPDATE MY PAYMENT SETTINGS FOR THEIR STUPID F N SUBSCRIPTION & FOR SHEETS N GRINS I DID! AND TO MY AMAZEMENT W T F  DO YA KNOW AS SOON AS I DID THAT THE PRINTER CAME ALIVE & RECONNECTED PERFECTLY ALL ON ITS OWN & ALL OF A SUDDEN WORKED LIKE NOTHING EVER HAPPENED!!! GET THE GD FQ OUT OF HERE!!! I WASTED SO MUCH PAPER & INK & TIME WITH THESE A-HOLES JUMPING THROUGH ALL THE LOOPS I COULD FIND ALL OVER THE INTERNET TO USE A PRINTER I OUTRIGHT BOUGHT WITH MY OWN DAMNED MONEY JUST TO FIND OUT ITS BC I OBVIOUSLY HAD TO REESTABLISH THEIR SCAM SUBSCRIPTION THIS WHOLE TIME JUST TO USE IT?!!! ITS A F N PRINTER FOR GOD’s SAKE!!! TO BLOCK ME FROM USING A PRINTER I PAID FULL PRICE FOR ALL BC I DIDNT WANT TO RENEW A SUBSCRIPTION AS I HAD NO USE FOR IT (OR SO I THOUGHT 😡) JUST TO FIND OUT THE DAMNED THING IS USELESS WITHOUT TJEM COLLECTING MONTHLY DUES FROM ME?!?! OMG I AM SO GD BESIDE MYSELF!!! BEST SELL YALLS STICKS BC MARK MY WORDS THEY SURELY WILL CRASH & HIT EXTINCTION WITH THIS OUTRAGEOUS SCAM! LORD KNOWS THEY LOST ME AS A CUSTOMER FOR SURE!!! Along with the other umpteen hundreds of thousand customers!!! THIS SOOOO HAS TO BE F N ILLEGAL AF AS THIS HAS NEVER BEEN & IS NOT DISCLOSED TO ANY OF US CONSUMERS PRIOR TO PURCHASING THEIR CRAP!!! NEEDS TO BE IN BOLD F N PRINT ON THE PRODUCT BOX THAT STATES “BUYING THIS PRINTER REQUIRES YOU TO CARRY A MONTHLY SUBSCRIPTION WITH HP SMART IN ORDER FOR IT TO WORK, BC WITHOUT ONE IT WON’T!!!“ SOB!!! I HAVE NEVER IN MY EVERLOVING LIFE ENCOUNTERED SUCH A VILE SCAM FROM SUCH A WELL KNOWN COMPANY!!! I WILL NEVER BUY ANYTHING HP AGAIN & HIGHLY PLAN ON TAKING MINE BACK TO WALMART TO RETURN IT & GET A CANON, EPSON OR BROTHER LIKE IVE ALWAYS HAD MY WHOLE LIFE WHERE YOU CAN USE IT REGARDLESS OF ANY SERVICE PURCHASED AS LONG AS YOU HAVE PAPER & INK, PERIOD!! DO NOT, I REPEAT, DOOOO NOT EVER BY ANYTHING HP!!! THEY ARE UP TO NO GOOD & WILL SCREW YOU OVER ROYALLY WHERE YOU CAN NEVER ACCESS THEIR DEVICE WITHOUT PAYING THEM A MONTHLY F N SUBSCRIPTION!!! 🤬😡🤬😡🤬😡🤬😡🤬😡🤬😡🤬"
179,"They told me that they couldn't help me , call back tomorrow. The next day they said the system has been down and they don't know when it will work....I said then why did you ask me to call the next day ... Useless."
180,"They make great computers! I have a HP computer that is over 10 Years old, and it still works! I also highly recommend their printer Hp envy 5547."
181,"I wish I never buyed anything from HP. Printers are just BS, they have a lot of errors. When you need it it will break and waste your time, money and nerves. Never again!"
182,"Sent me a faulty item but would not replace it, even if I had purchased the care pack!! Would give zero stars if I could!! Spoke to over 15 agents and none of them could resolve the issue!!!"
183,"The product itself, in this case an All-in-One desktop computer, is fine. I've only had it a short time and previously had one as well. My issue is the SERVICE given by the company. ""Fine"" can be purchased from many companies, and in the future I will be purchasing from another one NOT HP, but the fact that from the moment I ordered it on their website I had issues is the reason for my rating and my complaint. I paid additional to receive the order in 2-3 business days. I had an invoice stating the anticipated date of arrivial(3 business days later). Yet when I'd only gotten notice of the shipment ON the 3rd business day, with expected delivery 4 days later, I attempted to reach out to their Customer Service Dept. This is basically non-existant. With the automated system you cannot get through to CS to begin with. When I finally decided to select ""sales"", knowing I would get a real person that time and hoping to be transferred to CS, I was given a song and dance about why I didn't have my order, asked if I wanted to purchase an EXTENDED WARRANTY on item I didn't even have yet, and then disconnected after asking to be transferred to CS I gave up calling. I emailed next, followed by a reply telling me that my 3-5 day shipping ""STARTS"" after it is first shipped. REALLY?? Because that's not what my invoice said. I replied to that saying as much - and she gave me the same(WRONG) response. I replied again, got someone else who attempted to tell me the same and then I noticed I was refunded my expedited shipping payment. No apology. Just a refund. Keep in mind I now had to be sure I was home for delivery days after I planned to be home. I was told incorrect information and never actually reached a person in service to SPEAK with. This is not a company I ever plan on doing business with again and have told anyone thinking of purchasing a computer NOT to use HP. I can get ""fine"" from Dell or any other company. I have no reason to use HP again."
184,10000% Markup on ink and toner.That's it. That's the whole reason. Worthless company.
185,Trash. Printer is the most rage inducing thing I've ever used and HP Instant Ink feels like a scam
186,"Their printers are rubbish, impossible to set up.If I could leave minus stars I would."
187,Customer service that doesn't even know their own policy.
